Title,Reference Disc,Standout Disc,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X,Release Date,Studio
" Kubo and the Two Strings (2016) (Steelbook)",true,false,true,true,false,false,false,true,false,2/28/23,Shout!/Scream Factory
" Kubo and the Two Strings (2016)",true,false,true,true,false,false,false,true,false,2/28/23,Shout!/Scream Factory
"007: The Daniel Craig Collection (Casino Royale, Quantum of Solace, Skyfall, SPECTRE)",false,true,true,true,false,false,false,false,false,10/22/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"10 Cloverfield Lane",false,false,false,false,false,false,false,false,false,1/23/18,Paramount Pictures Home Entertainment (also CBS Studios)
"100 Years of Warner Bros. Classic Hollywood 5-Film 4K Collection (1930s–1960s) (includes The Wizard of Oz, Citizen Kane, Casablanca, Singin' in the Rain & Rebel Without a Cause)",false,false,false,false,false,false,false,false,false,4/4/23,Warner Bros. Home Entertainment
"100 Years of Warner Bros. Modern Blockbusters 5-Film 4K Collection (1990s–Today) (includes GoodFellas, Unforgiven, The Shawshank Redemption, Training Day & Elvis)",false,false,false,false,false,false,false,false,false,9/19/23,Warner Bros. Home Entertainment
"100 Years of Warner Bros. New Hollywood 5-Film 4K Collection (1970s–1980s) (includes Enter the Dragon, Willy Wonka & the Chocolate Factory, Gremlins, The Goonies & The Lost Boys)",false,false,false,false,false,false,false,false,false,8/8/23,Warner Bros. Home Entertainment
"12 Angry Men (1957)",true,false,true,true,false,false,false,false,false,4/18/23,Kino Lorber Studio Classics
"12 Monkeys",false,true,true,true,false,false,false,false,false,4/26/22,Arrow Video
"13 Hours: The Secret Soldiers of Benghazi (Steelbook)",false,false,false,true,false,false,false,true,false,3/2/21,Paramount Pictures Home Entertainment (also CBS Studios)
"13 Hours: The Secret Soldiers of Benghazi",false,false,false,true,false,false,false,true,false,6/11/19,Paramount Pictures Home Entertainment (also CBS Studios)
"1776: 50th Anniversary Director's Cut",false,false,true,true,false,false,false,true,false,5/31/22,Sony Pictures Home Entertainment
"1917",false,false,true,true,true,false,false,true,false,12/12/22,Vice Press/The Film Vault (UK)
"1917",true,false,true,true,true,false,false,true,false,3/24/2020,Universal Studios Home Entertainment
"2 Fast 2 Furious",false,true,true,false,false,false,false,false,true,10/2/18,Universal Studios Home Entertainment
"2 Guns (2013)",false,false,true,false,false,false,false,false,false,8/1/23,Universal Studios Home Entertainment
"2001: A Space Odyssey",false,false,true,true,false,false,false,false,false,10/2/23,Vice Press/The Film Vault (UK)
"2001: A Space Odyssey",true,false,true,true,false,false,false,false,false,12/18/18,Warner Bros. Home Entertainment
"2012",true,false,true,false,false,false,false,true,false,1/19/21,Sony Pictures Home Entertainment
"21 Jump Street (2012)",false,false,true,false,false,false,false,true,false,9/14/20,Sony Pictures Home Entertainment
"22 Jump Street (2014)",false,false,true,false,false,false,false,true,false,9/14/20,Sony Pictures Home Entertainment
"3 Days of the Condor (1975)",false,false,true,true,false,false,false,false,false,"",Kino Lorber Studio Classics
"3 From Hell",false,false,false,false,false,false,false,false,false,10/15/19,Lionsgate
"3 from Hell (Steelbook)",false,false,true,true,false,false,false,false,false,9/28/21,Lionsgate
"300",false,true,false,false,false,false,false,true,false,10/6/20,Warner Bros. Home Entertainment
"3:10 to Yuma (Best Buy-exclusive Steelbook)",false,false,false,false,false,false,false,false,true,9/6/22,Lionsgate
"3:10 to Yuma",false,false,false,false,false,false,false,false,true,5/2/17,Lionsgate
"47 Ronin (2013)",false,false,true,false,false,false,false,false,true,5/5/20,Universal Studios Home Entertainment
"48 Hrs: 2-Movie Collection",false,false,true,true,false,false,false,false,false,12/6/22,Paramount Pictures Home Entertainment (also CBS Studios)
"48 Hrs: 40th Anniversary Edition",false,false,true,true,false,false,false,false,false,12/6/22,Paramount Pictures Home Entertainment (also CBS Studios)
"5th Wave, The",false,false,false,false,false,false,false,true,false,5/3/16,Sony Pictures Home Entertainment
"65",false,true,true,true,false,false,false,true,false,5/30/23,Sony Pictures Home Entertainment
"8 Mile",false,false,true,false,false,false,false,false,true,11/8/22,Universal Studios Home Entertainment
"A Beautiful Day in the Neighborhood",false,false,true,false,false,true,false,false,true,2/18/20,Sony Pictures Home Entertainment
"A Beautiful Planet: IMAX",true,false,true,false,false,true,false,false,true,12/11/18,Mill Creek Entertainment
"A Blade in the Dark (1983)",false,false,true,false,false,false,false,false,false,5/26/23,Vinegar Syndrome
"A Bronx Tale: 30th Anniversary Edition",false,false,true,false,false,false,false,false,false,9/12/23,Tribeca Film
"A Bug's Life",false,false,false,false,false,false,false,true,false,3/3/2020,Walt Disney Studios Home Entertainment (also Fox see above)
"A Charlie Brown Christmas",false,false,true,false,false,false,false,false,false,10/31/17,Warner Bros. Home Entertainment
"A Charlie Brown Thanksgiving",false,false,true,false,false,false,false,false,false,10/24/17,Warner Bros. Home Entertainment
"A Christmas Story",false,true,true,false,false,false,false,false,false,11/1/22,Warner Bros. Home Entertainment
"A Clockwork Orange",false,true,true,false,false,false,false,false,false,9/21/21,Warner Bros. Home Entertainment
"A Few Good Men",true,false,true,false,false,false,false,true,false,11/7/17,Sony Pictures Home Entertainment
"A Fistful of Dollars (1964)",false,false,true,false,false,false,false,false,false,5/31/22,Kino Lorber Studio Classics
"A Fistful of Dynamite (1971)",false,false,true,true,false,false,false,false,false,"",Kino Lorber Studio Classics
"A Hard Day's Night",false,false,true,true,false,false,false,false,false,1/18/22,The Criterion Collection
"A League of Their Own (only available in Columbia Classics 4K: Vol. 1)",false,false,true,false,false,false,false,false,false,6/16/20,Sony Pictures Home Entertainment
"A Quiet Place (Mondo Steelbook)",true,false,true,true,false,false,false,true,false,3/10/20,Paramount Pictures Home Entertainment (also CBS Studios)
"A Quiet Place 2-Movie Collection",false,false,true,true,false,false,false,true,false,9/6/22,Paramount Pictures Home Entertainment (also CBS Studios)
"A Quiet Place",true,false,true,true,false,false,false,true,false,7/10/18,Paramount Pictures Home Entertainment (also CBS Studios)
"A Quiet Place: Part II",true,false,true,true,false,false,false,true,false,7/27/21,Paramount Pictures Home Entertainment (also CBS Studios)
"A River Runs Through It",false,false,false,false,false,false,false,false,false,TBA 2023,Sony Pictures Home Entertainment
"A River Runs Through It",false,false,true,true,true,false,false,false,false,12/3/21,Capelight Pictures (Germany)
"A Simple Favor",false,false,false,false,false,false,false,false,false,12/18/2018,Lionsgate
"A Star Is Born (2018)",false,false,false,true,false,false,false,true,false,2/19/19,Warner Bros. Home Entertainment
"A Wrinkle in Time",false,true,false,false,false,false,false,true,false,6/5/18,Walt Disney Studios Home Entertainment (also Fox see above)
"Abominable",false,false,false,false,false,false,false,false,false,12/17/19,Universal Studios Home Entertainment
"Abyss, The (1989)",false,false,true,false,false,false,false,false,false,TBA,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Abyss, The (1989)",false,false,true,false,false,false,false,false,false,TBA,Walt Disney Studios Home Entertainment (also Fox see above)
"Acción mutante (1992)",false,false,true,false,false,false,false,false,false,4/25/23,Severin Films
"Accountant, The",false,false,false,false,false,false,false,false,false,1/10/17,Warner Bros. Home Entertainment
"Across the Universe",false,true,true,false,false,false,false,true,false,1/9/18,Sony Pictures Home Entertainment
"Ad Astra",false,true,true,false,false,false,false,true,false,12/17/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Adaptation",false,false,true,true,false,false,false,false,false,12/6/22,Sony Pictures Home Entertainment
"Addams Family, The",false,false,true,false,false,false,false,false,false,11/23/21,Paramount Pictures Home Entertainment (also CBS Studios)
"Adventures of Baron Munchausen, The (1988)",false,true,true,true,false,false,false,false,false,1/3/23,The Criterion Collection
"African Queen, The (1951)",false,false,true,true,false,false,false,false,false,TBA 2023,Paramount Pictures Home Entertainment (also CBS Studios)
"After Hours (1985)",false,false,true,true,false,false,false,false,false,7/11/23,The Criterion Collection
"Agatha Christie's Murder on the Orient Express (1974)",false,false,true,true,false,false,false,false,false,"",Kino Lorber Studio Classics
"Air Force One (Steelbook)",false,false,true,true,false,false,false,true,false,3/7/23,Sony Pictures Home Entertainment
"Air Force One",false,false,true,false,false,false,false,true,false,11/6/18,Sony Pictures Home Entertainment
"Aircraft Carrier: Guardian of the Seas",false,false,true,false,false,false,false,false,false,2/5/19,Shout!/Scream Factory
"Akira (2-Disc Wide Release)",false,false,true,false,false,false,false,false,false,1/18/22,FUNimation
"Akira (3-Disc Limited Edition)",false,true,true,false,false,false,false,false,false,12/22/20,FUNimation
"Akira Kurosawa's Dreams (1990)",false,false,true,true,false,false,false,false,false,8/8/23,The Criterion Collection
"Akira Kurosawa's Ran (Steelbook)",false,true,true,true,false,false,false,false,false,11/16/21,Lionsgate
"Akira Kurosawa's Ran",false,true,true,true,false,false,false,false,false,7/19/21,StudioCanal (UK/Germany/France)
"Aladdin (1992)",false,true,false,false,false,false,false,true,false,9/10/19,Walt Disney Studios Home Entertainment (also Fox see above)
"Aladdin (2019)",false,false,false,false,false,false,false,true,false,9/10/19,Walt Disney Studios Home Entertainment (also Fox see above)
"Aladdin (Disney 100 Best Buy-exclusive Steelbook)",false,false,true,false,false,false,false,false,false,10/3/23,Walt Disney Studios Home Entertainment (also Fox see above)
"Alfred Hitchcock Classics Collection",false,false,true,false,false,false,false,false,false,9/8/2020,Universal Studios Home Entertainment
"Alfred Hitchcock Classics Collection, The: Volume 2",false,false,true,false,false,false,false,false,false,5/10/22,Universal Studios Home Entertainment
"Alien: 40th Anniversary Edition",true,false,true,false,true,false,false,false,false,4/23/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Alien: Covenant",false,true,false,false,false,false,false,true,false,8/15/17,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Aliens, Alien 3, Alien Resurrection",false,false,true,false,false,false,false,false,false,"",20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Aliens, Alien 3, Alien Resurrection",false,false,true,false,false,false,false,false,false,"",Walt Disney Studios Home Entertainment (also Fox see above)
"Alita: Battle Angel (with Blu-ray 3D)",false,false,false,true,true,false,false,true,false,7/23/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"All Ladies Do It (1993)",false,false,true,false,false,false,false,false,false,TBA,Cult Epics
"All Quiet on the Western Front (2022)",false,false,true,true,false,false,false,true,false,3/28/23,MPI Media Group/Dark Sky Films
"All Quiet on the Western Front (2022)",false,false,true,true,false,false,false,true,false,4/24/23,Altitude Film Distribution UK
"Allied",false,true,true,false,false,false,false,false,false,2/28/17,Paramount Pictures Home Entertainment (also CBS Studios)
"Alligator: Collector's Edition",true,false,true,true,false,false,false,false,false,2/22/22,Shout!/Scream Factory
"Almost Famous (Steelbook) (includes BOTH cuts of the film)",true,false,true,true,false,false,false,false,false,7/13/21,Paramount Pictures Home Entertainment (also CBS Studios)
"Almost Famous (includes BOTH cuts of the film)",true,false,true,true,false,false,false,false,false,2/1/22,Paramount Pictures Home Entertainment (also CBS Studios)
"Amadeus",false,false,true,false,false,false,false,false,false,TBA 2023,Warner Bros. Home Entertainment
"Amazing Spider-Man 2, The",true,false,true,false,false,false,false,true,false,2/23/16,Sony Pictures Home Entertainment
"Amazing Spider-Man, The (1-2): Limited Edition Collection",false,false,true,false,false,false,false,false,false,10/17/17,Sony Pictures Home Entertainment
"Ambulance",false,false,true,true,false,false,false,true,false,6/14/22,Universal Studios Home Entertainment
"American Assassin",false,false,false,true,false,false,false,true,false,12/5/17,Lionsgate
"American Gangster",false,false,true,false,false,false,false,false,true,10/15/19,Universal Studios Home Entertainment
"American Graffiti (1973)",false,false,true,false,false,false,false,false,false,8/29/23,Universal Studios Home Entertainment
"American Made",false,false,false,false,false,false,false,false,true,1/9/18,Universal Studios Home Entertainment
"American Psycho (Steelbook)",false,false,true,true,false,false,false,true,false,10/5/21,Lionsgate
"American Psycho",false,false,true,true,false,false,false,true,false,9/25/18,Lionsgate
"American Underdog (Amazon exclusive 4K release)",false,true,true,true,false,false,false,true,false,2/22/21,Lionsgate
"Amityville Horror, The (1979)",false,true,true,false,false,false,false,false,false,10/25/22,Vinegar Syndrome
"Amsterdam",true,false,true,false,false,false,false,true,false,12/6/22,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Amsterdam",true,false,true,false,false,false,false,true,false,12/6/22,Walt Disney Studios Home Entertainment (also Fox see above)
"An American Werewolf in London",false,false,true,false,false,false,false,false,false,11/13/20,Turbine Media (Germany)
"An American Werewolf in London",false,false,true,false,false,false,false,false,false,TBA 2021,Universal Studios Home Entertainment
"An American Werewolf in London: Limited Edition",false,false,true,false,false,false,false,false,false,3/12/21,Turbine Media (Germany)
"An American Werewolf in London: Limited Edition",true,false,true,true,false,false,false,false,false,3/15/22,Arrow Video
"An American Werewolf in Paris",false,false,true,false,false,false,false,false,false,7/8/22,Turbine Media (Germany)
"Anatomy of a Murder (only available in Columbia Classics 4K: Vol. 2)",true,false,true,false,false,false,false,true,false,10/12/21,Sony Pictures Home Entertainment
"Angel Has Fallen",false,false,true,true,false,false,false,true,false,11/26/19,Lionsgate
"Angel Heart",false,false,true,false,false,false,false,false,false,10/14/19,StudioCanal (UK/Germany/France)
"Angel Heart",false,false,true,false,false,false,false,false,false,9/19/19,StudioCanal (UK/Germany/France)
"Angel Heart: Limited Edition Steelbook",false,false,true,false,false,false,false,false,false,4/2/20,StudioCanal (UK/Germany/France)
"Angel Heart: Limited Edition Steelbook",false,false,true,true,false,false,false,false,false,7/12/22,Lionsgate
"Angels & Demons",false,false,true,false,false,false,false,true,false,10/11/16,Sony Pictures Home Entertainment
"Angry Birds Movie 2, The",false,false,false,false,false,true,false,true,true,11/12/16,Sony Pictures Home Entertainment
"Angry Birds Movie, The",false,false,false,false,false,false,false,true,false,8/16/16,Sony Pictures Home Entertainment
"Anna",false,false,false,true,false,false,false,true,false,9/24/19,Lionsgate
"Annihilation",true,false,true,true,false,false,false,true,false,5/29/18,Paramount Pictures Home Entertainment (also CBS Studios)
"Another 48 Hrs",false,false,true,true,false,false,false,false,false,12/6/22,Paramount Pictures Home Entertainment (also CBS Studios)
"Ant-Man and The Wasp",false,false,false,false,false,false,false,true,false,10/16/18,Walt Disney Studios Home Entertainment (also Fox see above)
"Ant-Man and The Wasp: Quantumania",false,false,true,false,false,false,false,true,false,5/16/23,Walt Disney Studios Home Entertainment (also Fox see above)
"Ant-Man",false,false,false,false,false,false,false,true,false,10/1/19,Walt Disney Studios Home Entertainment (also Fox see above)
"Antebellum",false,false,true,true,false,false,false,true,false,11/3/20,Lionsgate
"Apartment, The (1960)",false,true,true,false,false,false,false,false,false,3/8/22,Kino Lorber Studio Classics
"Apocalypse Now: Final Cut – 40th Anniversary Edition",true,false,true,true,false,false,false,true,false,8/27/19,Lionsgate
"Apollo 11",false,false,true,false,false,false,false,false,false,11/4/19,Dogwoof (UK)
"Apollo 13 (Steelbook)",false,false,false,false,false,false,false,false,false,6/2/20,Universal Studios Home Entertainment
"Apollo 13",false,false,true,false,false,false,false,false,true,10/2/23,Vice Press/The Film Vault (UK)
"Apollo 13",false,true,true,false,false,false,false,false,true,10/17/17,Universal Studios Home Entertainment
"Aqua Teen Forever: Plantasm",false,false,true,false,false,false,false,false,false,11/8/22,Warner Bros. Home Entertainment
"Aquaman",true,false,false,true,false,false,false,true,false,3/26/19,Warner Bros. Home Entertainment
"Argo",false,false,true,false,false,false,false,false,false,12/6/16,Warner Bros. Home Entertainment
"Arizona (2018)",false,false,false,false,false,false,false,false,false,10/16/18,Image (RLJ Entertainment/Cinestate)
"Ark of the Sun God (1984)",false,false,true,false,false,false,false,false,false,3/10/23,88 Films
"Army of Darkness (Steelbook)",true,false,true,true,false,false,false,false,false,10/4/22,Shout!/Scream Factory
"Army of Darkness",true,false,true,true,false,false,false,false,false,10/4/22,Shout!/Scream Factory
"Arrival, The",false,false,false,false,false,false,false,false,false,2/14/17,Paramount Pictures Home Entertainment (also CBS Studios)
"Assassin's Creed",false,true,true,false,false,false,false,true,false,3/21/17,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Atomic Blonde",false,true,false,true,false,false,false,false,true,11/14/17,Universal Studios Home Entertainment
"Avatar (2009)",false,false,true,false,false,false,false,true,false,6/20/23,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
