Title,Studio,Release Date,Reference,Standout,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X
Allied,Paramount Pictures Home Entertainment,2/28/17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
American Assassin,Lionsgate,12/5/17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
American Gangster,Universal Studios Home Entertainment,10/15/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
American Made,Universal Studios Home Entertainment,1/9/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
American Psycho,Lionsgate,9/25/18,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Angel Has Fallen,Lionsgate,11/26/19,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Angel Heart,Studio Canal (UK/Germany?France),9/19/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Angel Heart,Studio Canal (UK/Germany?France),10/14/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Angel Heart: Limited Edition Steelbook,Studio Canal (UK/Germany?France),4/2/20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Angels & Demons,Sony Pictures Home Entertainment,10/11/16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Anna,Lionsgate,9/24/19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Annihilation,Paramount Pictures Home Entertainment,5/29/18,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Ant-Man,Walt Disney Studios Home Entertainment (also Fox see above),10/1/19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ant-Man and The Wasp,Walt Disney Studios Home Entertainment (also Fox see above),10/16/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Apocalypse Now: Final Cut – 40th Anniversary Edition,Lionsgate,8/27/19,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Apollo 11,Dogwoof (UK),11/4/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Apollo 13,Universal Studios Home Entertainment,10/17/17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Apollo 13 (Steelbook),Universal Studios Home Entertainment,6/2/20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aquaman,Warner Bros. Home Entertainment,3/26/19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Argo,Warner Bros. Home Entertainment,12/6/16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arizona (2018),Image (RLJ Entertainment/Cinestate),10/16/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Assassin’s Creed,20th Century Fox Home Entertainment (Walt Disney previously MGM),3/21/17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Atomic Blonde,Universal Studios Home Entertainment,11/14/17,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Avatar: 10th Anniversary Edition,20th Century Fox Home Entertainment (Walt Disney previously MGM),TBA 2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Avengers: Age of Ultron,Walt Disney Studios Home Entertainment (also Fox see above),8/14/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Avengers: Endgame,Walt Disney Studios Home Entertainment (also Fox see above),8/13/19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Avengers: Infinity War,Walt Disney Studios Home Entertainment (also Fox see above),8/14/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Baby Driver,Sony Pictures Home Entertainment,10/10/17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Backdraft,Universal Studios Home Entertainment,5/7/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bad Boys 1 & 2 Collection,Sony Pictures Home Entertainment,9/4/18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Bad Boys for Life,Sony Pictures Home Entertainment,4/28/20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bad Santa 2: Unrated,Broad Green Pictures,2/21/17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bad Times at the El Royale,20th Century Fox Home Entertainment (Walt Disney previously MGM),1/1/19,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Basic Instinct,Studio Canal (UK/Germany?France),TBA 2020,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Batman (1989),Warner Bros. Home Entertainment,6/4/19,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Batman & Robin,Warner Bros. Home Entertainment,6/4/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Batman and Harley Quinn,Warner Bros. Home Entertainment,8/29/17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batman Begins,Warner Bros. Home Entertainment,12/19/17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batman Forever,Warner Bros. Home Entertainment,6/4/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Batman Returns,Warner Bros. Home Entertainment,6/4/19,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Batman v Superman: Dawn of Justice – Ultimate Edition,Warner Bros. Home Entertainment,7/19/16,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Batman vs Teenage Mutant Ninja Turtles,Warner Bros. Home Entertainment,6/4/19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batman: Assault on Arkham,Warner Bros. Home Entertainment,9/11/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batman: Gotham by Gaslight,Warner Bros. Home Entertainment,2/6/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batman: The Killing Joke,Warner Bros. Home Entertainment,9/11/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
