Title,Reference Disc,Standout Disc,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X,Release Date,Studio,Review,Buy US,Buy UK
"3 Days of the Condor (1975)",false,false,true,true,false,false,false,false,false,8/29/23,Kino Lorber Studio Classics,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0C6R5MD4H/thedigitalbit-20";"www.amazon.com"),
"3 From Hell",false,false,false,false,false,false,false,false,false,10/15/19,Lionsgate,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07X3828RK/camerontec014-20";"www.amazon.com"),
"3 from Hell (Steelbook)",false,false,true,true,false,false,false,false,false,9/28/21,Lionsgate,,,
"300",false,true,false,false,false,false,false,true,false,10/6/20,Warner Bros. Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/300-uhd-bd-2020";"Review"),=HYPERLINK("http://www.amazon.com/exec/obidos/ASIN/B08DT1CD6X/camerontec014-20";"www.amazon.com"),
"3:10 to Yuma (Best Buy-exclusive Steelbook)",false,false,false,false,false,false,false,false,true,9/6/22,Lionsgate,,,
"3:10 to Yuma",false,false,false,false,false,false,false,false,true,5/2/17,Lionsgate,=HYPERLINK("https://thedigitalbits.com/item/310-to-yuma-uhd-bd";"Review"),=HYPERLINK("https://www.amazon.com/10-Yuma-Ultra-Blu-ray-Digital/dp/B06X9JQBSD?tag=camerontec014-20";"www.amazon.com"),
"47 Ronin (2013)",false,false,true,false,false,false,false,false,true,5/5/20,Universal Studios Home Entertainment,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B085KR59HD/camerontec014-20";"www.amazon.com"),
"48 Hrs: 2-Movie Collection",false,false,true,true,false,false,false,false,false,12/6/22,Paramount Pictures Home Entertainment (also CBS Studios),,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BF4DR8VG/camerontec014-20";"www.amazon.com"),
"48 Hrs: 40th Anniversary Edition",false,false,true,true,false,false,false,false,false,12/6/22,Paramount Pictures Home Entertainment (also CBS Studios),,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BF3GB258/camerontec014-20";"www.amazon.com"),
"5th Wave, The",false,false,false,false,false,false,false,true,false,5/3/16,Sony Pictures Home Entertainment,,=HYPERLINK("https://www.amazon.com/Wave-Blu-ray-Chlo%C3%AB-Grace-Moretz/dp/B01AYDOI1O?tag=camerontec014-20";"www.amazon.com"),=HYPERLINK("http://amzn.to/2jDnfDi";"amzn.to")
"65",false,true,true,true,false,false,false,true,false,5/30/23,Sony Pictures Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/65-4k-uhd-2023";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BY3Y9KSD/camerontec014-20";"www.amazon.com"),=HYPERLINK("http://www.amazon.co.uk/exec/obidos/ASIN/B0BXPPKKLJ/thedigitalbits-20";"www.amazon.co.uk")
"8 Mile",false,false,true,false,false,false,false,false,true,11/8/22,Universal Studios Home Entertainment,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BDHQ5YM7/camerontec014-20";"www.amazon.com"),=HYPERLINK("http://www.amazon.co.uk/dp/B0B46KM4X5/ref=nosim?tag=thedigbit-21";"www.amazon.co.uk")
"A Beautiful Day in the Neighborhood",false,false,true,false,false,true,false,false,true,2/18/20,Sony Pictures Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/beautiful-day-in-the-neighborhood-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07Z75BXZM/camerontec014-20";"www.amazon.com"),
"A Beautiful Planet: IMAX",true,false,true,false,false,true,false,false,true,12/11/18,Mill Creek Entertainment,=HYPERLINK("https://thedigitalbits.com/item/beautiful-planet-imax-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07J35T8H2/camerontec014-20";"www.amazon.com"),
"A Blade in the Dark (1983) (wide release)",false,false,true,false,false,false,false,false,false,9/26/23,Vinegar Syndrome,,,
"A Blade in the Dark (1983)",false,false,true,false,false,false,false,false,false,5/26/23,Vinegar Syndrome,,=HYPERLINK("https://vinegarsyndrome.com/collections/frontpage/products/a-blade-in-the-dark";"vinegarsyndrome.com"),
"A Bronx Tale: 30th Anniversary Edition",false,false,true,false,false,false,false,false,false,9/12/23,Tribeca Film,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0C3Z21WC5/camerontec014-20";"www.amazon.com"),
"A Bug's Life",false,false,false,false,false,false,false,true,false,3/3/2020,Walt Disney Studios Home Entertainment (also Fox see above),,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B082JLJRMF/camerontec014-20";"www.amazon.com"),
"A Charlie Brown Christmas",false,false,true,false,false,false,false,false,false,10/31/17,Warner Bros. Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/peanuts-holiday-collection-uhd-bd";"Review"),=HYPERLINK("https://www.amazon.com/Charlie-Brown-Christmas-Ultra-Blu-ray/dp/B073VC9D8X?tag=camerontec014-20";"www.amazon.com"),
"A Charlie Brown Thanksgiving",false,false,true,false,false,false,false,false,false,10/24/17,Warner Bros. Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/peanuts-holiday-collection-uhd-bd";"Review"),=HYPERLINK("https://www.amazon.com/Charlie-Brown-Thanksgiving-Ultra-Blu-ray/dp/B073VBVF9R?tag=camerontec014-20";"www.amazon.com"),
"A Christmas Story",false,true,true,false,false,false,false,false,false,11/1/22,Warner Bros. Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/christmas-story-uhd-2022";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BC24H2GK/thedigitalbit-20";"www.amazon.com"),
"A Clockwork Orange",false,true,true,false,false,false,false,false,false,9/21/21,Warner Bros. Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/clockwork-orange-4k-2021";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B09B8FXZ8N/thedigitalbit-20";"www.amazon.com"),=HYPERLINK("http://www.amazon.co.uk/dp/B09B4HHJ23/ref=nosim?tag=thedigbit-21";"www.amazon.co.uk")
"A Few Good Men (1992) 4K Steelbook (now with Dolby Vision)",false,false,true,true,false,false,false,true,false,TBA,Sony Pictures Home Entertainment,,,
"A Few Good Men",true,false,true,false,false,false,false,true,false,11/7/17,Sony Pictures Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/few-good-men-a-25th-uhd-brd";"Review"),=HYPERLINK("https://www.amazon.com/Few-Good-Ultra-Blu-ray-Disc/dp/B0772W4B2R?tag=camerontec014-20";"www.amazon.com"),
"A Fistful of Dollars (1964)",false,false,true,false,false,false,false,false,false,5/31/22,Kino Lorber Studio Classics,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B09VDSKF7X/thedigitalbit-20";"www.amazon.com"),
"A Fistful of Dynamite (1971)",false,false,true,true,false,false,false,false,false,"",Kino Lorber Studio Classics,,,
"A Hard Day's Night",false,false,true,true,false,false,false,false,false,1/18/22,The Criterion Collection,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B09JLFXDY2/thedigitalbit-20";"www.amazon.com"),
"A League of Their Own (only available in Columbia Classics 4K: Vol. 1)",false,false,true,false,false,false,false,false,false,6/16/20,Sony Pictures Home Entertainment,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B086L71KGD/camerontec014-20";"www.amazon.com"),
"A Quiet Place (Mondo Steelbook)",true,false,true,true,false,false,false,true,false,3/10/20,Paramount Pictures Home Entertainment (also CBS Studios),=HYPERLINK("https://thedigitalbits.com/item/quiet-place-uhd-bd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B083W4DHGM/camerontec014-20";"www.amazon.com"),
"A Quiet Place 2-Movie Collection",false,false,true,true,false,false,false,true,false,9/6/22,Paramount Pictures Home Entertainment (also CBS Studios),,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0B3K8HTLR/camerontec014-20";"www.amazon.com"),
"A Quiet Place",true,false,true,true,false,false,false,true,false,7/10/18,Paramount Pictures Home Entertainment (also CBS Studios),=HYPERLINK("https://thedigitalbits.com/item/quiet-place-uhd-bd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07CBLS785/camerontec014-20";"www.amazon.com"),
"A Quiet Place: Part II",true,false,true,true,false,false,false,true,false,7/27/21,Paramount Pictures Home Entertainment (also CBS Studios),=HYPERLINK("https://thedigitalbits.com/item/quiet-place-part-2-4k-uhd-2021";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B08DBYMR1C/camerontec014-20";"www.amazon.com"),
"A River Runs Through It",false,false,false,false,false,false,false,false,false,TBA,Sony Pictures Home Entertainment,,,
"A River Runs Through It",false,false,true,true,true,false,false,false,false,12/3/21,Capelight Pictures (Germany),,,
"A Simple Favor",false,false,false,false,false,false,false,false,false,12/18/2018,Lionsgate,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07HGBR8FD/camerontec014-20";"www.amazon.com"),
"A Star Is Born (2018)",false,false,false,true,false,false,false,true,false,2/19/19,Warner Bros. Home Entertainment,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07GVXD8J3/camerontec014-20";"www.amazon.com"),
"A Wrinkle in Time",false,true,false,false,false,false,false,true,false,6/5/18,Walt Disney Studios Home Entertainment (also Fox see above),=HYPERLINK("https://thedigitalbits.com/item/wrinkle-in-time-4k-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B079JPNZ7G/camerontec014-20";"www.amazon.com"),
"Abominable",false,false,false,false,false,false,false,false,false,12/17/19,Universal Studios Home Entertainment,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07Y4LNBT3/camerontec014-20";"www.amazon.com"),
"Abyss, The (1989) (including BOTH cuts of the film)",false,false,true,false,false,false,false,false,false,TBA,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM),,,
"Abyss, The (1989) (including BOTH cuts of the film)",false,false,true,false,false,false,false,false,false,TBA,Walt Disney Studios Home Entertainment (also Fox see above),,,
"Acción mutante (1992)",false,false,true,false,false,false,false,false,false,4/25/23,Severin Films,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BTTMB9Z8/camerontec014-20";"www.amazon.com"),
"Accountant, The",false,false,false,false,false,false,false,false,false,1/10/17,Warner Bros. Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/accountant-uhd-bd";"Review"),=HYPERLINK("https://www.amazon.com/Accountant-4K-Ultra-Blu-ray-Digital/dp/B01LBWHRHY?tag=camerontec014-20";"www.amazon.com"),=HYPERLINK("http://amzn.to/2y9Xe0K";"amzn.to")
"Across the Universe",false,true,true,false,false,false,false,true,false,1/9/18,Sony Pictures Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/across-the-universe-uhd";"Review"),=HYPERLINK("https://www.amazon.com/dp/B075G3TMBC/ref=as_li_ss_tl?s=movies-tv&ie=UTF8&qid=1510601984&sr=1-6&keywords=across+the+universe&linkCode=sl1&tag=thedigitalbits-20&linkId=8276cd222852c0c98b08c495d6a5e0e7?tag=camerontec014-20";"www.amazon.com"),
"Ad Astra",false,true,true,false,false,false,false,true,false,12/17/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM),,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07WFJ9NX7/camerontec014-20";"www.amazon.com"),
"Adaptation",false,false,true,true,false,false,false,false,false,12/6/22,Sony Pictures Home Entertainment,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BHTKF62S/thedigitalbit-20";"www.amazon.com"),
"Addams Family, The",false,false,true,false,false,false,false,false,false,11/23/21,Paramount Pictures Home Entertainment (also CBS Studios),,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B097BYXJTX/camerontec014-20";"www.amazon.com"),
"Adventures of Baron Munchausen, The (1988)",false,true,true,true,false,false,false,false,false,1/3/23,The Criterion Collection,=HYPERLINK("https://thedigitalbits.com/item/baron-munchausen-criterion-2023-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BJHQ7T4C/thedigitalbit-20";"www.amazon.com"),
"African Queen, The (1951)",false,false,true,true,false,false,false,false,false,TBA,Paramount Pictures Home Entertainment (also CBS Studios),,,
"After Hours (1985)",false,false,true,true,false,false,false,false,false,7/11/23,The Criterion Collection,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0C2JLWXTJ/thedigitalbit-20";"www.amazon.com"),
"Agatha Christie's Murder on the Orient Express (1974)",false,false,true,true,false,false,false,false,false,"",Kino Lorber Studio Classics,,,
"Air Force One (Steelbook)",false,false,true,true,false,false,false,true,false,3/7/23,Sony Pictures Home Entertainment,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BN29JFLL/camerontec014-20";"www.amazon.com"),
"Air Force One",false,false,true,false,false,false,false,true,false,11/6/18,Sony Pictures Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/air-force-one-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07G1ZS2VS/camerontec014-20";"www.amazon.com"),
"Aircraft Carrier: Guardian of the Seas",false,false,true,false,false,false,false,false,false,2/5/19,Shout!/Scream Factory,,=HYPERLINK("http://www.amazon.com/exec/obidos/ASIN/B07KLTV8WB/camerontec014-20";"www.amazon.com"),
"Airplane (1980)",false,false,true,false,false,false,false,false,false,TBA,Paramount Pictures Home Entertainment (also CBS Studios),,,
"Airplane II: The Sequel (1982)",false,false,true,false,false,false,false,false,false,TBA,Paramount Pictures Home Entertainment (also CBS Studios),,,
"Akira (2-Disc Wide Release)",false,false,true,false,false,false,false,false,false,1/18/22,FUNimation,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B09JXWP8N1/camerontec014-20";"www.amazon.com"),
"Akira (3-Disc Limited Edition)",false,true,true,false,false,false,false,false,false,12/22/20,FUNimation,=HYPERLINK("https://thedigitalbits.com/item/akira-funimation-2020-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B08JDTN396/camerontec014-20";"www.amazon.com"),=HYPERLINK("http://www.amazon.co.uk/dp/B08L3NKPGV/ref=nosim?tag=thedigbit-21";"www.amazon.co.uk")
"Akira Kurosawa's Dreams (1990)",false,false,true,true,false,false,false,false,false,8/8/23,The Criterion Collection,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0C5F2H8D6/thedigitalbit-20";"www.amazon.com"),
"Akira Kurosawa's Ran (Steelbook)",false,true,true,true,false,false,false,false,false,11/16/21,Lionsgate,=HYPERLINK("https://thedigitalbits.com/item/ran-studiocanal-uk-4k-uhd-2021";"Review"),,
"Akira Kurosawa's Ran",false,true,true,true,false,false,false,false,false,7/19/21,StudioCanal (UK/Germany/France),=HYPERLINK("https://thedigitalbits.com/item/ran-studiocanal-uk-4k-uhd-2021";"Review"),=HYPERLINK("https://www.awin1.com/cread.php?awinmid=6037&awinaffid=745023&ued=https%3A%2F%2Fwww.zavvi.com%2Fblu-ray%2Fran-vintage-world-cinema-4k-ultra-hd%2F13156853.html";"www.awin1.com"),=HYPERLINK("https://www.awin1.com/cread.php?awinmid=2549&awinaffid=745023&ued=https%3A%2F%2Fwww.zavvi.com%2Fblu-ray%2Fran-vintage-world-cinema-4k-ultra-hd%2F13156853.html";"www.awin1.com")
"Aladdin (1992)",false,true,false,false,false,false,false,true,false,9/10/19,Walt Disney Studios Home Entertainment (also Fox see above),=HYPERLINK("https://thedigitalbits.com/item/aladdin-1992-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07TKNFKCT/camerontec014-20";"www.amazon.com"),
"Aladdin (2019)",false,false,false,false,false,false,false,true,false,9/10/19,Walt Disney Studios Home Entertainment (also Fox see above),=HYPERLINK("https://thedigitalbits.com/item/aladdin-uce-2019-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07SZGT17K/camerontec014-20";"www.amazon.com"),
"Aladdin (Disney 100 Best Buy-exclusive Steelbook)",false,false,true,false,false,false,false,false,false,10/3/23,Walt Disney Studios Home Entertainment (also Fox see above),,,
"Alexander (2004)",false,false,true,false,false,false,false,false,false,TBA,Shout!/Scream Factory,,,
"Alfred Hitchcock Classics Collection",false,false,true,false,false,false,false,false,false,9/8/2020,Universal Studios Home Entertainment,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B08CPLM17C/camerontec014-20";"www.amazon.com"),=HYPERLINK("http://www.amazon.co.uk/dp/B08CLKKPMQ/ref=nosim?tag=thedigbit-21";"www.amazon.co.uk")
"Alfred Hitchcock Classics Collection, The: Volume 2",false,false,true,false,false,false,false,false,false,5/10/22,Universal Studios Home Entertainment,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B09VLDC3CV/camerontec014-20";"www.amazon.com"),
"Alfred Hitchcock Classics Collection, The: Volume 3 (5 films)",false,false,true,false,false,false,false,false,false,10/31/23,Universal Studios Home Entertainment,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0CHDN92N6/camerontec014-20";"www.amazon.com"),
"Alien 3, Alien Resurrection",false,false,true,false,false,false,false,false,false,"",20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM),,,
"Alien 3, Alien Resurrection",false,false,true,false,false,false,false,false,false,"",Walt Disney Studios Home Entertainment (also Fox see above),,,
"Alien: 40th Anniversary Edition",true,false,true,false,true,false,false,false,false,4/23/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM),=HYPERLINK("https://thedigitalbits.com/item/alien-40th-anniversary-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07P83ZXX4/camerontec014-20";"www.amazon.com"),
